commanded_torque_Nm,measured_accel_rad_s2
-0.2,-1.0116419876556086
-0.18000000000000002,0.2019922490353196
-0.16,-0.7306487382635192
-0.14,-0.6268785145734947
-0.12000000000000001,-0.3656479762132032
-0.1,0.459718203709636
-0.08000000000000002,-0.27225044636701845
-0.06,-0.2517899551674025
-0.04000000000000001,-0.03269865694673753
-0.020000000000000018,0.09078292092496902
0.0,0.1454251055374266
0.01999999999999999,0.25400909772812674
0.03999999999999998,0.972114095608484
0.06,0.3227704279070156
0.08000000000000002,0.4095590611288621
0.09999999999999998,0.4885409042127939
0.12,0.8756239589905286
0.14,0.3082361203899403
0.15999999999999998,0.5477927671166938
0.18,0.5576674990083244
0.2,0.7563364425148106
